end,start,days,portfolio_return,factor_return,specific_return,fixed_weight_return,buy_and_hold_return,benchmark_return,ex_ante_factor_variance,ex_ante_specific_variance,ex_ante_total_variance,contrib_equity,contrib_rates_level,contrib_rates_slope,contrib_credit,contrib_commodity,contrib_dollar,impact,fees,shortfall,predicted,realised,residual
2009-06-30,2009-05-29,22,-0.01296796978,-0.01490581309,0.001937843313,-0.01279710831,-0.01311573513,-0.00326775489,0.0003981934891,0.0001092447334,0.0005074382224,-5.753339272e-05,-0.007436209002,-0.001023323614,-0.002361930238,-0.0002069715603,-0.003819845286,0.0008368156557,0,0.0008368156557,0.0008368156557,0.0008368156557,1.084202172e-19
2009-07-31,2009-06-30,22,0.01643431361,0.005006948354,0.01142736526,0.01655731543,0.01632328664,0.04423950346,0.0002987418413,0.0002086964606,0.0005074383019,0.002216320659,0.0007830330049,-0.0004437777433,-0.006043802365,-0.00226237831,0.01075755311,0.0008157686389,0,0.0008157686389,0.0008157686389,0.0008157686389,1.084202172e-19
2009-08-31,2009-07-31,21,0.005203942638,-0.0004254325919,0.00562937523,0.005428284897,0.005109486856,0.009560237163,0.0003097344237,0.0001977039026,0.0005074383263,-0.0002466136028,0.004898316948,-0.0001252970799,0.001872630492,-0.004633104886,-0.002191364463,0.0006024181836,0,0.0006024181836,0.0006024181836,0.0006024181836,0
2009-09-30,2009-08-31,21,0.03942272645,0.01635913323,0.02306359322,0.03944540698,0.03986896445,0.0350605802,0.0003193412628,0.000188097091,0.0005074383538,0.003359897515,0.003523676573,-0.0002998606596,0.006433507074,-0.003178974062,0.006520886788,0.0009773233622,0,0.0009773233622,0.0009773233622,0.0009773233622,0
2009-10-30,2009-09-30,21,-0.007413946134,-0.00651557825,-0.0008983678843,-0.006908885586,-0.007773340164,-0.01175456136,0.0004260047222,8.143345436e-05,0.0005074381766,-0.007071204094,-0.002567673653,-0.000822315971,0.001344945621,0.001742180593,0.0008584892552,0.00053571462,0,0.00053571462,0.00053571462,0.00053571462,1.084202172e-19
2009-11-30,2009-10-30,19,0.03329064198,0.02367714103,0.009613500947,0.03313914376,0.03365646088,0.03350058434,0.0004036025688,0.000103835678,0.0005074382468,0.01313470501,0.00788031139,-0.0004989307266,-9.452310559e-05,0.0004749820009,0.002780596466,1.560346227e-05,0,1.560346227e-05,1.560346227e-05,1.560346227e-05,1.016439537e-20
2009-12-31,2009-11-30,21,-0.013178259,-0.008491181632,-0.004687077372,-0.01305914127,-0.01334128,-0.005276858769,0.0003787367168,0.000128701509,0.0005074382257,0.003557725342,-0.01438191537,-0.0001013128591,0.006223211124,0.00253844802,-0.006327337893,0.0005183037511,0,0.0005183037511,0.0005183037511,0.0005183037511,0
2010-01-29,2009-12-31,19,-0.002198809992,-0.005526770893,0.003327960901,-0.001972540331,-0.002456620222,-0.01627945185,0.0002833529131,0.0002240853759,0.000507438289,-0.003135166326,0.008439989224,0.001056852643,-0.001009318505,-0.005334399913,-0.005544728017,0.0001256873645,0,0.0001256873645,0.0001256873645,0.0001256873645,-2.710505431e-20
2010-02-26,2010-01-29,15,0.01816856739,0.01705581344,0.001112753952,0.01841751046,0.0180139986,0.01044374398,0.0003883836793,0.0001190545289,0.0005074382083,0.003001899274,0.004211897179,6.751609747e-05,0.008797655362,0.0005563343025,0.0004205112204,0.0004890257126,0,0.0004890257126,0.0004890257126,0.0004890257126,2.168404345e-19
2010-03-31,2010-02-26,23,0.01232923324,0.01028540413,0.002043829102,0.01243562233,0.01230855123,0.01893254852,0.0004631070351,4.433120875e-05,0.0005074382439,0.01334512306,-0.00382053921,-0.000169033419,-0.0003840610251,-0.0009314332549,0.002245347983,0.0001767441979,0,0.0001767441979,0.0001767441979,0.0001767441979,0
2010-04-30,2010-03-31,20,0.02833930573,0.01759509247,0.01074421326,0.02843508757,0.02860046824,0.02534686851,0.0004568218416,5.06164057e-05,0.0005074382473,0.002604456652,0.00507531701,-0.001000001813,0.009318894278,0.001437500277,0.0001589260666,2.089004469e-05,0,2.089004469e-05,2.089004469e-05,2.089004469e-05,-1.694065895e-20
2010-05-28,2010-04-30,20,-0.03585475132,-0.03796038457,0.002105633256,-0.03538443542,-0.03614180377,-0.02553472876,0.0004955767236,1.186151466e-05,0.0005074382383,-0.02803215073,0.004541476545,3.64933325e-05,-0.0110184462,-0.0007889974824,-0.002698760033,8.484783477e-05,0,8.484783477e-05,8.484783477e-05,8.484783477e-05,-4.065758147e-20
2010-06-30,2010-05-28,22,0.008647161288,-0.0002151688025,0.00886233009,0.008830346903,0.008480693562,0.005772166073,0.0004561407583,5.129755718e-05,0.0005074383155,-0.01762004748,0.008897591681,-0.0007127518732,0.01016551739,-0.001506598467,0.0005611199535,0.0004179080344,0,0.0004179080344,0.0004179080344,0.0004179080344,-5.421010862e-20
2010-07-30,2010-06-30,21,-0.006934560264,0.0227205805,-0.02965514076,-0.007192399419,-0.007190160298,0.03307946869,0.0002422281468,0.0002652101462,0.000507438293,0.001021752037,0.003964891706,0.002150511509,0.005628376015,0.002021786772,0.007933262462,0.0008201457199,0,0.0008201457199,0.0008201457199,0.0008201457199,0
2010-08-31,2010-07-30,22,0.05014178015,0.02234680688,0.02779497328,0.05002535295,0.0511392547,0.008785082005,0.0002857567826,0.0002216814461,0.0005074382286,-0.000530820954,0.02572043873,0.0001819848271,0.0004554721278,-0.0004466443447,-0.003033623514,9.399551866e-05,0,9.399551866e-05,9.399551866e-05,9.399551866e-05,2.710505431e-20
2010-09-30,2010-08-31,21,0.04047026307,0.03643265162,0.004037611448,0.03996313532,0.04109200805,0.04383831515,0.0004147447327,9.269346515e-05,0.0005074381978,0.02603555057,-0.002101354414,-0.002218955153,0.0009464033705,0.002058181908,0.01171282534,0.0008817191886,0,0.0008817191886,0.0008817191886,0.0008817191886,-1.084202172e-19
2010-10-29,2010-09-30,20,-0.005973019511,-0.01137799545,0.00540497594,-0.006285516133,-0.006260763995,0.01271302164,0.0004606929587,4.674524726e-05,0.000507438206,0.002765813218,-0.00651439359,-0.01170810123,0.00021765704,0.002068094686,0.001792934427,0.0004389094945,0,0.0004389094945,0.0004389094945,0.0004389094945,5.421010862e-20
2010-11-30,2010-10-29,20,-0.01002951232,-0.01847659104,0.008447078719,-0.009158363288,-0.01069211263,-0.007441357449,0.0004182234722,8.92147617e-05,0.0005074382339,0.002300131453,-0.01436184643,0.0004806747633,-0.0004758000559,0.005253177886,-0.01167292865,0.0001450349863,0,0.0001450349863,0.0001450349863,0.0001450349863,0
2010-12-30,2010-11-30,21,-0.003800547311,0.0004858540805,-0.004286401392,-0.004250045512,-0.004090040389,0.01803111081,0.0004259523846,8.148590127e-05,0.0005074382858,0.01477591289,-0.02787161603,2.135196095e-05,0.0002139866827,0.005594902572,0.007751316008,0.0003431851947,0,0.0003431851947,0.0003431851947,0.0003431851947,-1.084202172e-19
