# {
#   "_what": "SPEC.md 5.4 bias series B_t^F, one column per model variant, built by `python -m mafrm.factors.vra_report --rebuild --all`. sigma_kt is the forecast made at t-1 from the full pre-VRA pipeline. tests/test_regime.py fails if risk_config_digest stops matching config/model.yaml.",
#   "columns": [
#     "bias_short_a1.0",
#     "bias_short_a1.4",
#     "bias_short_none",
#     "bias_long_a1.0",
#     "bias_long_a1.4",
#     "bias_long_none"
#   ],
#   "generated_utc": "2026-09-02T17:07:51+00:00",
#   "git_commit": "d09e49e65a593c19e660523ad77facb84e950d46",
#   "holdout_start": "2025-01-01",
#   "minimum_observations": 7,
#   "model_yaml_sha256": "e0de439faf6c90542b91b462c0e9e734d82925514413535f179435ec0f1a7c64",
#   "panel_digest": "9cfeb174e9c7ce3e5a9d14543e29fe45580b569316c51137d0189ee64a6acce3",
#   "panel_end": "2024-12-31",
#   "panel_start": "2008-04-14",
#   "risk_config_digest": "3701b5bf664e023a23f6ca793b83386f14c5517e8bb4c6d75ab58c9ebda09744",
#   "rows": 4139
# }
date,k_over_realised_t_eff_short,k_over_realised_t_eff_long,bias_short_a1.0,bias_short_a1.4,bias_short_none,bias_long_a1.0,bias_long_a1.4,bias_long_none
2008-04-23,0.857376298847,0.857168796549,0.000104452924852,7.46086991304e-05,1.49474439585,0.000104623546908,7.47305736634e-05,1.49492604069
2008-04-24,0.750268088644,0.75002978973,0.000227193208571,0.000162283445085,1.20881933687,0.000225400436975,0.000161002857036,1.20416654787
2008-04-25,0.666969265296,0.666700291687,0.000563737633033,0.00040265421481,2.42619055803,0.000556914687634,0.000397781020436,2.40502367772
2008-04-28,0.600337011958,0.600037449777,0.000261891094571,0.000187071793622,0.916722541456,0.000261845706118,0.000187039328252,0.919002255022
2008-04-29,0.545825899645,0.545495812317,1.22618425502,1.15993077852,1.47130542073,1.22310800102,1.15742215587,1.46658203451
2008-04-30,0.500405642291,0.500045078185,0.421647753559,0.407851426859,0.44966392223,0.420409973835,0.406650675073,0.448365834421
2008-05-01,0.461978349471,0.461587346603,2.32054155593,2.24398205299,2.47762383901,2.32199902096,2.24522968807,2.47961026688
2008-05-02,0.429045527956,0.428624117014,1.66212630301,1.6341711267,1.70800507432,1.6693795581,1.64127235884,1.71545808568
2008-05-05,0.400508282654,0.400056489009,1.09542633944,1.08410123587,1.10684136938,1.09313659798,1.08181109121,1.1046026091
2008-05-06,0.375542442185,0.375060287281,1.30285666197,1.27421608283,1.36691185215,1.30049699154,1.27189012642,1.36440529797
2008-05-07,0.353517757793,0.353005260123,1.35956516896,1.33802591639,1.40505591068,1.3582349719,1.33671400085,1.40367848058
2008-05-08,0.333944035951,0.333401211764,1.3528113643,1.33512968888,1.38328538149,1.35878790491,1.3410423664,1.38933324835
2008-05-09,0.316434281721,0.31586114554,0.964879528257,0.933881090307,1.04630121288,0.962796717521,0.931871572455,1.0439896814
2008-05-12,0.300678899104,0.30007546412,1.00893430474,0.990789759414,1.0532043588,1.00954328706,0.99103458927,1.05483242013
2008-05-13,0.286427262727,0.285793541094,0.932983843271,0.947232926176,0.894841363765,0.9210627907,0.93476093823,0.884472044981
2008-05-14,0.273474315423,0.272810318487,0.903759379149,0.882682459715,0.958903757478,0.90224574232,0.88096114951,0.957950341044
2008-05-15,0.261650662101,0.260956400583,0.909205740767,0.917750456087,0.884706926161,0.89914221636,0.907349344591,0.875610280568
2008-05-16,0.250815140148,0.250090624282,0.856197905122,0.837287731703,0.903437084635,0.850951453174,0.832129944097,0.897973459895
2008-05-19,0.240849172932,0.240094412582,0.497750652814,0.488631992259,0.5183946735,0.494094622167,0.484949175225,0.514821556057
2008-05-20,0.231652426344,0.230867431094,0.872509587758,0.866464619967,0.884884024827,0.865572691842,0.85933210627,0.878521683617
2008-05-21,0.223139430555,0.222324209785,1.3822407611,1.37740795851,1.39065986475,1.37512240786,1.36979061422,1.38492918199
2008-05-22,0.215236925678,0.214391488624,1.60187105181,1.58250251562,1.63828144576,1.58332760966,1.56400791532,1.61991722356
2008-05-23,0.207881756607,0.207006112413,1.27452709948,1.25940090761,1.29970563092,1.2679991676,1.25296808546,1.29305020975
2008-05-27,0.201019188885,0.200113346646,1.3947998638,1.37405161084,1.43588781622,1.38273442344,1.36224717851,1.42336610442
2008-05-28,0.194601550539,0.193665519333,0.857294593528,0.846905185918,0.874217784159,0.845629768952,0.835317261197,0.862518041901
2008-05-29,0.188587128562,0.187620917484,1.16058910979,1.14598529563,1.18957197469,1.15945677024,1.14486074043,1.18844568596
2008-05-30,0.182939266042,0.181942884227,0.980857957851,0.960472601791,1.02612625352,0.986092712358,0.965572498169,1.03167395979
2008-06-02,0.17762561862,0.176599075264,1.7137324472,1.68351147987,1.78072014999,1.70786217014,1.67764486847,1.77490222939
2008-06-03,0.172617538407,0.171560842787,1.76929415907,1.74096067519,1.83077580344,1.77317414224,1.74466884496,1.83509366143
2008-06-04,0.167889560589,0.166802722079,0.86211840659,0.851893370895,0.88371241466,0.861594637559,0.851314100384,0.883346225572
2008-06-05,0.163418973281,0.162302001363,1.81536412378,1.80351757056,1.83493669177,1.80333497922,1.79131853167,1.82352216706
2008-06-06,0.159185455298,0.158038359575,2.21781887973,2.22279139322,2.1912191573,2.19664203804,2.20112310526,2.17153590911
2008-06-09,0.155170769657,0.153993559865,1.58366898493,1.57389391159,1.59826879587,1.586350787,1.57625051136,1.60182848411
2008-06-10,0.151358503049,0.150151189066,1.38327670681,1.36865951302,1.41257434663,1.37660879817,1.36202361305,1.40592442828
2008-06-11,0.147733843445,0.146496435295,1.48638382108,1.4745520296,1.50406662318,1.49646566095,1.48442803592,1.51470207599
2008-06-12,0.144283389461,0.143015897325,1.43473183479,1.41655961975,1.47237466487,1.4400488844,1.42177719244,1.4778815678
2008-06-13,0.140994986334,0.139697420554,0.895269362984,0.895117878822,0.887057129771,0.896344955082,0.896170311062,0.888181411836
2008-06-16,0.137857584261,0.136529955344,1.67776946738,1.64541138841,1.75479646198,1.66480811659,1.63274236046,1.74111132582
