# {
#   "_what": "SPEC.md 5.4 bias series B_t^F for MODEL B (SPEC.md 4.2), one column per variant x horizon x eigenfactor a, built by `python -m mafrm.factors.statistical_report --rebuild`. sigma_kt is the forecast made at t-1 from the full pre-VRA pipeline.",
#   "columns": [
#     "bias_denoised_short_a1.0",
#     "bias_denoised_short_a1.4",
#     "bias_denoised_long_a1.0",
#     "bias_denoised_long_a1.4",
#     "bias_detoned_short_a1.0",
#     "bias_detoned_short_a1.4",
#     "bias_detoned_long_a1.0",
#     "bias_detoned_long_a1.4"
#   ],
#   "generated_utc": "2026-09-02T17:22:20+00:00",
#   "git_commit": "d09e49e65a593c19e660523ad77facb84e950d46",
#   "holdout_start": "2025-01-01",
#   "panel_digest": {
#     "denoised": "1b2b4e8ffb293ece0093377cd67e0f214b9912bb4c148de309f9659f5d0b0946",
#     "detoned": "63b076b12171ea675d333f4ece53e0a69c273f759f2b927dd642a6c87d296670"
#   },
#   "risk_config_digest": "3701b5bf664e023a23f6ca793b83386f14c5517e8bb4c6d75ab58c9ebda09744",
#   "rows": 4164
# }
date,k_over_realised_t_eff_denoised_short,k_over_realised_t_eff_denoised_long,k_over_realised_t_eff_detoned_short,k_over_realised_t_eff_detoned_long,bias_denoised_short_a1.0,bias_denoised_short_a1.4,bias_denoised_long_a1.0,bias_denoised_long_a1.4,bias_detoned_short_a1.0,bias_detoned_short_a1.4,bias_detoned_long_a1.0,bias_detoned_long_a1.4
2008-04-23,0.500099295245,0.500011033272,,,4.83741285952,4.27136847284,4.92644621352,4.34997358965,,,,
2008-04-24,0.428688149424,0.428584398275,,,4.2442758989,3.79787767438,4.27346545166,3.82391568879,,,,
2008-04-25,0.375134044322,0.375014894865,,,0.420133893644,0.40930141834,0.419419970234,0.4085926654,,,,
2008-04-28,0.333484632648,0.333350145844,,,0.916258689604,0.885990364814,0.922063072096,0.891574875165,,,,
2008-04-29,0.300168505979,0.300018724888,,,1.34411953229,1.29827719078,1.34696480411,1.30098811321,,,,
2008-04-30,0.272912949823,0.272747906159,,,1.14058403802,1.10322823953,1.143465217,1.1059773845,,,,
2008-05-01,0.250202821146,0.250022539093,,,1.95388459796,1.92772598005,1.96041262061,1.9341745274,,,,
2008-05-02,0.230989174735,0.230793673301,,,1.36087402376,1.33484336826,1.36645775077,1.34032251006,,,,
2008-05-05,0.214522763978,0.214312058507,,,1.00404610431,0.984735326546,1.00570454427,0.986347391055,,,,
2008-05-06,0.200254141327,0.200028244504,,,0.633804831777,0.622542621201,0.631491656913,0.620298047222,,,,
2008-05-07,0.187771221092,0.18753014364,,,1.07718516893,1.05526983549,1.07088346015,1.04909688906,,,,
2008-05-08,0.176758878896,0.176502630062,,,2.19686813035,2.15431113905,2.19517650364,2.15265673456,,,,
2008-05-09,0.166972017976,0.166700605882,,,0.363320388249,0.358216074673,0.363356999608,0.358239419714,,,,
2008-05-12,0.15821714086,0.15793057277,,,0.823414087514,0.814167766915,0.823585030966,0.814323610297,,,,
2008-05-13,0.150339449552,0.15003773206,,,2.12886215861,2.11037780412,2.13089802745,2.11239271995,,,,
2008-05-14,0.143213631363,0.142896770547,,,0.660830936175,0.655369828737,0.660554257155,0.655092687584,,,,
2008-05-15,0.136737157711,0.136405159244,,,2.84008879742,2.8167699268,2.85064822132,2.82724268067,,,,
2008-05-16,0.13082533105,0.130478200291,,,1.04986852082,1.04197404135,1.04882664604,1.04093348443,,,,
2008-05-19,0.125407570074,0.125045312141,,,0.489027481004,0.481839943402,0.492140066033,0.484884156066,,,,
2008-05-20,0.120424586466,0.120047206291,,,0.97786403988,0.974042618261,0.969512931036,0.965761308655,,,,
2008-05-21,0.115826213172,0.115433715547,,,1.34292250041,1.33653861286,1.3508647889,1.34428562613,,,,
2008-05-22,0.111569715278,0.111162104892,,,2.11560919192,2.08319194394,2.11114977106,2.07882650735,,,,
2008-05-23,0.107618462839,0.107195744312,,,1.07379653531,1.06544068134,1.05053237657,1.04236480792,,,,
2008-05-27,0.103940878303,0.103503056206,,,1.85944812135,1.84216046846,1.86263320063,1.84534898973,,,,
2008-05-28,0.100509594442,0.100056673323,,,1.31307114648,1.29848535672,1.2985682754,1.28415839826,,,,
2008-05-29,0.0973007752693,0.0968327596665,,,1.31377566248,1.30787808447,1.32368784005,1.31769699384,,,,
2008-05-30,0.0942935642808,0.093810458742,,,0.580157056063,0.575149536697,0.593513860891,0.588361166621,,,,
2008-06-02,0.0914696330211,0.0909714421136,0.500099295245,0.500011033272,1.07482024291,1.06753768271,1.06510019378,1.05795892684,6.78419021024,6.48111587004,6.84141288491,6.53558380711
2008-06-03,0.0888128093099,0.0882995376321,0.428688149424,0.428584398275,1.08131246122,1.07831822064,1.07173619206,1.06888329543,0.881312164378,0.830165741023,0.880368003854,0.829343415195
2008-06-04,0.0863087692035,0.0857804213937,0.375134044322,0.375014894865,0.904715194685,0.898456438425,0.915546233455,0.90919985941,2.38966183962,2.25889436801,2.43001486495,2.29699174038
2008-06-05,0.0839447802947,0.0834013610395,0.333484632648,0.333350145844,1.37818006815,1.36790383218,1.3620878374,1.35194373276,0.718747855916,0.701565833287,0.721481538328,0.704274163828
2008-06-06,0.0817094866406,0.0811510006813,0.300168505979,0.300018724888,2.27432595315,2.26393306822,2.23906597598,2.22905064131,4.18742174661,4.11805372145,1.64623282873,1.57508999869
2008-06-09,0.0795927276491,0.0790191797876,0.272912949823,0.272747906159,1.16633632202,1.15534136058,1.16513171021,1.15415786923,6.36714993021,6.2518339922,6.453580891,6.3367286341
