horizon,date,observations,k_over_t_eff,cond_style,repair_fired,repair_floored,bartlett_fired,scored,min_eig_ewma,min_eig_newey_west,min_eig_psd_repair,min_eig_eigen_a1,min_eig_eigen_a1.4,amplitude,lambda_raw_top,lambda_raw_bottom,lambda_raw_bulk_min,factors_present,unentered_names,names,singletons,short_history,exact_zero,structural_r2,max_z,bartlett_fallbacks_specific,target_shift,lambda_f2_a1,lambda_f2_a1.4,lambda_s2
short,2016-11-30,2435,0.21867,3.72296,False,0,False,True,32.1607,41.3103,41.3103,5.59828e-12,7.83189e-12,0.113845,0.986112,1.04703,0.966336,53,0,391,7,7,0,0.832666,19.3715,0,0.0206894,1.32803,1.32778,1.30683
short,2016-12-30,2456,0.21867,3.93256,False,0,False,True,27.0585,34.7619,34.7619,-4.18758e-12,-5.15562e-12,0.113424,0.98654,1.04702,0.968988,53,0,391,8,8,0,0.832346,18.8205,0,0.0339217,1.1406,1.14042,1.12213
short,2017-01-31,2476,0.21867,4.04399,False,0,False,True,22.971,29.5134,29.5134,1.19298e-11,-5.98392e-12,0.113104,0.986011,1.04693,0.96586,53,0,392,8,8,0,0.840052,17.8581,0,0.0285966,1.09445,1.09432,1.12696
short,2017-02-28,2495,0.21867,3.98766,False,0,False,True,19.6529,25.2706,25.2706,2.48107e-12,5.63678e-12,0.112849,0.985346,1.04664,0.965105,53,0,394,8,9,0,0.843454,11.0576,0,0.0118982,1.01994,1.01981,1.08652
short,2017-03-31,2518,0.21867,4.11905,False,0,False,True,16.2668,20.9139,20.9139,-3.71983e-12,2.11625e-12,0.112798,0.986095,1.04602,0.963962,53,0,397,8,8,0,0.814968,17.6207,0,0.0131128,0.881562,0.881495,0.923122
short,2017-04-28,2537,0.21867,4.0583,False,0,False,True,13.9132,17.8914,17.8914,1.01114e-12,6.82291e-12,0.113148,0.985829,1.04641,0.962674,53,0,399,8,8,0,0.815463,2.72879e+13,0,0.0113207,0.850958,0.850891,0.920385
short,2017-05-31,2559,0.21867,4.04287,False,0,False,True,11.6111,14.9506,14.9506,2.14429e-12,-2.15484e-12,0.112607,0.986257,1.04624,0.968671,53,0,399,8,8,0,0.838885,3.2249e+13,0,0.0156899,0.859118,0.859097,0.920292
short,2017-06-30,2581,0.21867,4.12943,False,0,False,True,9.69005,12.484,12.484,2.06012e-12,1.81324e-12,0.112516,0.986515,1.04611,0.970011,53,0,399,9,9,0,0.82417,4.37998e+13,0,0.0169825,0.875617,0.875651,0.894279
short,2017-07-31,2601,0.21867,3.93654,False,0,False,True,8.22203,10.5984,10.5984,-2.61836e-12,-1.85038e-12,0.112566,0.986282,1.04549,0.967385,53,0,402,8,12,0,0.82271,5.95204e+13,0,0.00963951,0.957867,0.957848,1.00841
short,2017-08-31,2624,0.21867,4.04197,False,0,False,True,6.80627,8.77585,8.77585,-1.80427e-12,-1.61755e-12,0.112248,0.986673,1.04599,0.966746,53,0,404,8,8,0,0.829912,2.46545e+13,0,0.00924736,0.883134,0.883152,0.980717
short,2017-09-29,2644,0.21867,4.18773,False,0,False,True,5.77477,7.45035,7.45035,3.91845e-12,-2.29556e-13,0.112273,0.986678,1.04631,0.967017,53,0,401,8,8,0,0.818846,9.29386e+12,0,0.0149358,0.899248,0.899233,1.00976
short,2017-10-31,2666,0.21867,4.17829,False,0,False,True,4.81875,6.21518,6.21518,9.94614e-13,-3.34494e-12,0.112067,0.986301,1.04643,0.967916,53,0,402,8,8,0,0.825886,35.0798,0,0.0124678,0.96829,0.968206,1.19168
short,2017-11-30,2687,0.21867,4.2967,False,0,False,True,4.05412,5.23158,5.23158,1.17037e-12,-1.72116e-12,0.111713,0.986758,1.0454,0.965848,53,0,404,8,8,0,0.820926,2.92999e+13,0,0.0154517,1.11267,1.1126,1.22982
short,2017-12-29,2707,0.21867,4.18227,False,0,False,True,3.43921,4.43815,4.43815,-1.83713e-12,1.47656e-12,0.11163,0.987462,1.04626,0.968328,53,0,403,8,8,0,0.82528,5.11152e+13,0,0.0283858,1.0478,1.04773,1.14086
short,2018-01-31,2728,0.21867,3.88242,False,0,False,True,2.89689,3.74157,3.74157,4.03469e-13,-1.40742e-13,0.111132,0.986721,1.04562,0.968695,53,0,405,7,7,0,0.809446,3.00671e+14,0,0.026322,1.14309,1.1431,1.22832
short,2018-02-28,2747,0.21867,3.77218,False,0,False,True,2.47872,3.20279,3.20279,3.18321e-12,-5.20038e-12,0.111923,0.987,1.04553,0.972223,53,0,405,7,7,0,0.809984,3.87757e+14,0,0.0315627,1.21012,1.21033,1.31574
short,2018-03-29,2768,0.21867,3.69862,False,0,False,True,2.08601,2.69599,2.69599,2.40577e-12,-3.97092e-12,0.111275,0.986303,1.04568,0.969529,53,0,407,7,7,0,0.783289,2.41139e+14,0,0.0342409,1.21993,1.22013,1.20868
short,2018-04-30,2789,0.21867,3.50929,False,0,False,True,1.75597,2.26928,2.26928,9.54735e-13,-1.00285e-13,0.11049,0.985876,1.04509,0.969276,53,0,408,7,7,0,0.777722,6.5572e+13,0,0.0290627,1.26464,1.26471,1.22564
short,2018-05-31,2811,0.21867,3.81214,False,0,False,True,1.46491,1.89334,1.89334,-3.31085e-13,5.81275e-12,0.110168,0.986292,1.04459,0.968938,53,0,408,7,7,0,0.804016,4.84985e+13,0,0.0169103,1.20028,1.20034,1.22801
short,2018-06-29,2832,0.21867,3.8738,False,0,False,True,1.2325,1.59315,1.59315,4.01175e-12,3.61827e-12,0.109824,0.98606,1.04596,0.968987,53,0,406,7,7,0,0.801001,3.88759e+13,0,0.0152842,1.16722,1.16729,1.16309
short,2018-07-31,2853,0.21867,3.81436,False,0,False,True,1.03733,1.34075,1.34075,4.992e-12,-2.30302e-12,0.109394,0.986591,1.04522,0.969312,53,0,407,7,7,0,0.799856,3.53289e+13,0,0.0314655,1.27252,1.27249,1.20982
short,2018-08-31,2876,0.21867,3.85413,False,0,False,True,0.858283,1.1096,1.1096,-2.91179e-12,-4.466e-12,0.109739,0.986849,1.04496,0.968784,53,0,409,7,8,0,0.810473,3.59774e+13,0,0.0199044,1.10009,1.10007,1.09305
short,2018-09-28,2895,0.21867,3.707,False,0,False,True,0.733999,0.948925,0.948925,-3.02706e-12,-4.7718e-12,0.109812,0.986131,1.04512,0.972035,53,0,409,7,7,0,0.805137,3.09638e+13,0,0.0132662,1.02535,1.02533,1.03922
short,2018-10-31,2918,0.21867,3.86987,False,0,False,True,0.607808,0.786727,0.786727,-5.7036e-12,-6.89034e-13,0.108181,0.986835,1.04518,0.972612,53,0,411,7,7,0,0.782797,2.65427e+13,0,0.026034,1.35643,1.35642,1.32285
short,2018-11-30,2939,0.21867,4.0254,False,0,False,True,0.51145,0.661813,0.661813,-2.25328e-12,-3.23334e-12,0.107912,0.985811,1.04511,0.972204,53,0,411,7,7,0,0.801809,2.59883e+13,0,0.043795,1.35854,1.35856,1.46529
short,2018-12-31,2958,0.21867,3.75253,False,0,False,True,0.437574,0.566309,0.566309,-9.20685e-13,4.49611e-12,0.107761,0.986059,1.04482,0.97315,53,0,413,7,8,0,0.794997,2.52873e+13,0,0.0309686,1.32542,1.32551,1.36051
short,2019-01-31,2979,0.21867,3.94965,False,0,False,True,0.368202,0.476537,0.476537,2.73441e-12,2.97587e-13,0.108459,0.984807,1.04512,0.969409,53,0,412,7,7,0,0.793737,2.24381e+13,0,0.0194092,1.31822,1.31824,1.35153
short,2019-02-28,2998,0.21867,4.00076,False,0,False,True,0.314844,0.407792,0.407792,2.02413e-12,2.3792e-12,0.108298,0.984419,1.04464,0.969771,53,0,413,7,8,0,0.770284,2.25089e+13,0,0.0109812,1.26104,1.26092,1.31869
short,2019-03-29,3019,0.21867,3.63935,False,0,False,True,0.264805,0.343006,0.343006,2.16589e-12,3.35276e-12,0.108104,0.984543,1.04448,0.969832,53,0,413,7,7,0,0.785093,2.09389e+13,0,0.00638259,1.10749,1.10741,1.14858
short,2019-04-30,3040,0.21867,3.82457,False,0,False,True,0.222757,0.288572,0.288572,-1.89467e-12,-2.84521e-12,0.107623,0.985106,1.04529,0.969406,53,0,413,7,7,0,0.800671,1.77271e+13,0,0.00596984,1.11655,1.11641,1.14627
short,2019-05-31,3062,0.21867,3.8828,False,0,False,True,0.185879,0.240923,0.240923,-1.82925e-12,-5.02867e-12,0.107839,0.985218,1.04535,0.96484,53,0,413,7,7,0,0.811523,1.63703e+13,0,0.00789441,1.03362,1.03352,1.09557
short,2019-06-28,3082,0.21867,4.10927,False,0,False,True,0.157649,0.204353,0.204353,5.9477e-13,-4.7136e-12,0.107691,0.984578,1.04459,0.966497,53,0,413,8,8,0,0.797309,1.4814e+13,0,0.00822805,0.951976,0.951908,1.01167
short,2019-07-31,3104,0.21867,3.90455,False,0,False,True,0.131531,0.170554,0.170554,-3.93013e-13,-3.66753e-12,0.108054,0.985504,1.04526,0.97092,53,0,414,8,8,0,0.808596,1.39647e+13,0,0.0083203,1.01192,1.01174,1.07638
short,2019-08-30,3126,0.21867,3.67878,False,0,False,True,0.109772,0.142505,0.142505,-3.23356e-12,-2.06687e-12,0.108013,0.986157,1.04445,0.97219,53,0,416,8,8,0,0.820925,1.28992e+13,0,0.00829656,1.00214,1.00206,1.0915
short,2019-09-30,3146,0.21867,3.88621,False,0,False,True,0.0930969,0.120872,0.120872,-3.90155e-12,5.16123e-12,0.107557,0.987003,1.04454,0.967966,53,0,417,8,10,0,0.795601,1.26183e+13,0,0.0082002,0.980223,0.980123,1.03964
short,2019-10-31,3169,0.21867,3.46076,False,0,False,True,0.077036,0.100023,0.100023,4.19489e-12,2.61168e-12,0.108162,0.986645,1.04426,0.971153,53,0,416,8,8,0,0.803489,1.26904e+13,0,0.0187773,0.996135,0.996012,1.12446
short,2019-11-29,3189,0.21867,3.53294,False,0,False,True,0.0653286,0.0848413,0.0848413,-2.34105e-12,1.01416e-12,0.108041,0.987909,1.04357,0.971752,53,0,415,8,9,0,0.815364,1.23742e+13,0,0.0092759,0.92668,0.926585,1.08029
short,2019-12-31,3210,0.21867,3.39506,False,0,False,True,0.0549452,0.0713582,0.0713582,1.49741e-12,-2.95954e-12,0.108662,0.987536,1.04476,0.972587,53,0,416,8,11,0,0.799608,1.50196e+13,0,0.00966638,0.803986,0.803929,0.934403
short,2020-01-31,3231,0.21867,3.47865,False,0,False,True,0.0462203,0.0600342,0.0600342,6.15592e-13,-9.97029e-13,0.10829,0.988284,1.04421,0.970025,53,0,416,8,8,0,0.80769,1.73636e+13,0,0.010441,0.845036,0.845012,0.983985
short,2020-02-28,3250,0.21867,3.5162,False,0,False,True,0.039549,0.0514486,0.0514486,-1.35926e-12,-2.23889e-12,0.108518,0.987994,1.04463,0.97266,53,0,415,8,8,0,0.813119,1.61943e+13,0,0.0131938,0.962544,0.962728,1.17706
short,2020-03-31,3272,0.21867,3.32979,False,0,False,True,0.0331189,0.0431411,0.0431411,1.20559e-11,-6.89984e-12,0.0980777,0.994029,1.04533,0.969788,53,0,416,8,8,0,0.742479,1.01618e+13,0,0.0206437,4.20569,4.20612,4.9059
short,2020-04-30,3293,0.21867,4.84174,False,0,False,True,0.0278825,0.0363512,0.0363512,-1.81929e-11,2.6345e-11,0.097245,0.994074,1.04572,0.973753,53,0,416,8,8,0,0.766349,8.15927e+12,0,0.0214833,3.46977,3.47045,3.91669
short,2020-05-29,3313,0.21867,4.5673,False,0,False,True,0.0236556,0.0308745,0.0308745,6.24486e-12,-6.45702e-12,0.0969667,0.993788,1.04528,0.973665,53,0,417,7,8,0,0.769667,1.12536e+13,0,0.0116171,2.79877,2.79943,3.06541
short,2020-06-30,3335,0.21867,4.62928,False,0,False,True,0.019741,0.0257703,0.0257703,-2.92295e-12,-7.69239e-12,0.0977209,0.99353,1.04583,0.974453,53,0,420,7,7,0,0.747374,1.50143e+13,0,0.0109217,2.17718,2.17779,2.34067
short,2020-07-31,3357,0.21867,4.56722,False,0,False,True,0.0164781,0.021518,0.021518,-2.02907e-11,-2.02953e-11,0.0979652,0.993445,1.04515,0.974179,53,0,419,7,7,0,0.761792,1.27236e+13,0,0.00766314,1.7974,1.79799,1.8787
short,2020-08-31,3378,0.21867,4.49044,False,0,False,True,0.0138619,0.0181161,0.0181161,4.99878e-12,6.76257e-12,0.0980235,0.993416,1.04496,0.974499,53,0,419,7,7,0,0.765317,7.1968e+12,0,0.00779753,1.46508,1.46561,1.51623
short,2020-09-30,3399,0.21867,4.42694,False,0,False,True,0.0116602,0.0152422,0.0152422,-1.17526e-12,5.64618e-12,0.0985124,0.993168,1.04487,0.972031,53,0,418,6,6,0,0.696501,4.82725e+12,0,0.0063708,1.26031,1.26078,1.25881
short,2020-10-30,3421,0.21867,4.09066,False,0,False,True,0.00972753,0.0127164,0.0127164,-1.43406e-11,-3.76615e-12,0.0989272,0.993105,1.04575,0.971691,53,0,420,6,6,0,0.76582,4.89237e+12,0,0.00724309,1.12179,1.12224,1.16082
short,2020-11-30,3441,0.21867,3.8865,False,0,False,True,0.00825212,0.0107916,0.0107916,7.3858e-12,-5.36572e-13,0.0995063,0.993656,1.04546,0.970143,53,0,422,6,6,0,0.734596,4.58665e+12,0,0.00988084,1.18254,1.18308,1.2388
short,2020-12-31,3463,0.21867,3.69288,False,0,False,True,0.00688429,0.00900593,0.00900593,1.60759e-12,9.4088e-12,0.0997143,0.993512,1.0454,0.969691,53,0,424,6,6,0,0.737055,4.52517e+12,0,0.0104049,1.00591,1.00642,1.0179
short,2021-01-29,3482,0.21867,3.86743,False,0,False,True,0.00588804,0.00770365,0.00770365,-4.76759e-12,-8.74105e-12,0.0995494,0.99309,1.04598,0.968863,53,0,426,6,6,0,0.719217,4.43138e+12,0,0.00876739,1.08293,1.08357,1.08025
short,2021-02-26,3501,0.21867,3.82771,False,0,False,True,0.00503496,0.00658752,0.00658752,1.22236e-11,5.50453e-12,0.0995201,0.993212,1.04529,0.969784,53,0,427,6,6,0,0.727931,4.08691e+12,0,0.0116503,1.03137,1.03197,1.08009
short,2021-03-31,3524,0.21867,4.32322,False,0,False,True,0.00416586,0.00545093,0.00545093,-4.36118e-12,4.11815e-13,0.0995702,0.993244,1.04519,0.973177,53,0,427,6,6,0,0.731964,3.72597e+12,1,0.0114148,1.02171,1.02231,1.00686
short,2021-04-30,3545,0.21867,3.92885,False,0,False,True,0.0035037,0.00458561,0.00458561,-5.87454e-12,-3.89357e-12,0.0992828,0.993267,1.04523,0.974151,53,0,431,6,6,0,0.726943,3.90038e+12,0,0.0105035,0.898777,0.899304,0.891464
short,2021-05-28,3565,0.21867,3.94998,False,0,False,True,0.00297121,0.00389033,0.00389033,-6.10726e-13,-1.22751e-11,0.0994112,0.993072,1.0456,0.975534,53,0,432,6,6,0,0.725058,3.73426e+12,0,0.00842842,0.827638,0.828138,0.810519
short,2021-06-30,3587,0.222796,3.80732,False,0,False,True,0.0024786,0.00324592,0.00324592,0.00323748,0.00323367,0.101234,0.992507,1.04665,0.971935,54,0,433,7,7,0,0.737225,3.86924e+12,0,0.0114725,0.778615,0.779085,0.746592
short,2021-07-30,3608,0.222796,3.69239,False,0,False,True,0.0020846,0.00273057,0.00273057,0.00272546,0.00272306,0.101801,0.992679,1.04706,0.970618,54,0,434,7,7,0,0.739347,4.08042e+12,0,0.013586,1.6898,1.69209,0.735083
short,2021-08-31,3630,0.222796,3.66653,False,0,False,True,0.00173875,0.00227784,0.00227784,0.00227185,0.00226915,0.10258,0.992773,1.04649,0.973415,54,0,436,7,8,0,0.750965,3.75889e+12,0,0.012096,1.51414,1.51609,0.732526
short,2021-09-30,3651,0.222796,3.6075,False,0,False,True,0.00146228,0.00191599,0.00191599,0.00191109,0.00190887,0.102483,0.992408,1.04656,0.97525,54,0,436,7,7,0,0.745148,3.95141e+12,0,0.0118198,1.27181,1.27334,0.739982
short,2021-10-29,3672,0.222796,3.69413,False,0,False,True,0.00122998,0.00161244,0.00161244,0.00160859,0.00160685,0.103175,0.992952,1.04624,0.974874,54,0,436,7,7,0,0.754505,4.28552e+12,0,0.00818177,1.27785,1.27916,0.845313
short,2021-11-30,3693,0.222796,4.0582,False,0,False,True,0.00103469,0.00135677,0.00135677,0.00135302,0.00135135,0.103274,0.993035,1.0458,0.973574,54,0,436,7,7,0,0.782475,4.26972e+12,0,0.0104853,1.27703,1.2782,1.00167
short,2021-12-31,3715,0.222796,3.90791,False,0,False,True,0.000863152,0.00113196,0.00113196,0.00112839,0.00112683,0.103654,0.993107,1.04617,0.973064,54,0,437,7,7,0,0.740974,5.2532e+12,0,0.00769949,1.15679,1.15783,0.946412
short,2022-01-31,3735,0.222796,3.7676,False,0,False,True,0.000732067,0.000960532,0.000960532,0.000957035,0.000955528,0.103418,0.993061,1.04572,0.969431,54,0,438,7,7,0,0.750754,5.54096e+12,0,0.0103601,1.31564,1.3167,1.1189
short,2022-02-28,3754,0.222796,3.5983,False,0,False,True,0.000626002,0.00082149,0.00082149,0.000818652,0.000817426,0.103166,0.992181,1.0458,0.970175,54,0,439,7,7,0,0.752399,5.39397e+12,0,0.00712732,1.31572,1.31673,1.23177
short,2022-03-31,3777,0.222796,3.78628,False,0,False,True,0.000517924,0.000680011,0.000680011,0.00067714,0.000675926,0.10252,0.992344,1.04631,0.974061,54,0,440,7,7,0,0.760857,5.11406e+12,0,0.0114583,1.2798,1.28075,1.22711
short,2022-04-29,3797,0.222796,3.7196,False,0,False,True,0.000439203,0.000576752,0.000576752,0.000574778,0.000573936,0.101921,0.991848,1.04561,0.973825,54,0,444,7,7,0,0.755176,4.7711e+12,0,0.0134559,1.31924,1.32013,1.24789
short,2022-05-31,3818,0.222796,3.72177,False,0,False,True,0.000369453,0.000485232,0.000485232,0.000483662,0.000482993,0.101361,0.992464,1.04598,0.972884,54,0,444,7,7,0,0.772722,3.93218e+12,0,0.00705322,1.31201,1.31287,1.27713
short,2022-06-30,3839,0.222796,3.69679,False,0,False,True,0.000310738,0.000408277,0.000408277,0.000407054,0.000406533,0.100977,0.992465,1.04578,0.971104,54,0,446,7,7,0,0.766549,3.41219e+12,0,0.00656845,1.21585,1.21656,1.17728
short,2022-07-29,3859,0.222796,3.82144,False,0,False,True,0.000263521,0.000346228,0.000346228,0.000345222,0.000344793,0.101521,0.992422,1.04518,0.972589,54,0,446,7,7,0,0.769481,2.90789e+12,0,0.00837216,1.17232,1.17292,1.14474
short,2022-08-31,3882,0.222796,3.84622,False,0,False,True,0.000218018,0.00028646,0.00028646,0.00028579,0.0002855,0.101705,0.992455,1.04552,0.969931,54,0,446,7,7,0,0.778477,2.43202e+12,0,0.00951561,1.00368,1.00415,1.00398
short,2022-09-30,3903,0.222796,3.80831,False,0,False,True,0.000183363,0.000240957,0.000240957,0.000240327,0.000240057,0.102158,0.991507,1.04567,0.968218,54,0,446,6,6,0,0.789209,9.30184e+13,0,0.0140847,0.964377,0.964806,0.991782
short,2022-10-31,3924,0.222796,3.83205,False,0,False,True,0.000154222,0.000202693,0.000202693,0.000202111,0.000201863,0.101905,0.991913,1.0463,0.970612,54,0,449,6,6,0,0.741433,1.06867e+14,0,0.0125942,1.03108,1.03149,1.1427
short,2022-11-30,3945,0.222796,3.69224,False,0,False,True,0.000129716,0.000170506,0.000170506,0.000170143,0.000169986,0.101041,0.991551,1.04567,0.975043,54,0,450,6,6,0,0.759266,3.1803e+13,0,0.0101449,1.02962,1.03002,1.20271
short,2022-12-30,3966,0.222796,3.78075,False,0,False,True,0.000109094,0.000143385,0.000143385,0.000143122,0.000143007,0.101935,0.991191,1.04562,0.976129,54,0,452,6,7,0,0.756865,2.21795e+12,0,0.00879059,0.896593,0.896927,1.0361
short,2023-01-31,3986,0.222796,3.76526,False,0,False,True,9.25033e-05,0.000121593,0.000121593,0.000121392,0.000121303,0.101533,0.991767,1.0454,0.974073,54,0,451,6,6,0,0.759486,2.26396e+12,0,0.0105682,0.889979,0.890224,1.03982
short,2023-02-28,4005,0.222796,3.72842,False,0,False,True,7.90892e-05,0.000103963,0.000103963,0.000103733,0.000103633,0.101528,0.991236,1.04497,0.974827,54,0,451,7,7,0,0.757301,2.79576e+12,0,0.0102569,0.873533,0.873738,1.04395
short,2023-03-31,4028,0.222796,3.86455,False,0,False,True,6.54221e-05,8.60019e-05,8.60019e-05,8.58622e-05,8.58002e-05,0.101293,0.991534,1.04534,0.971958,54,0,453,7,7,0,0.702301,2.48458e+12,0,0.00681453,0.877135,0.877385,1.02439
short,2023-04-28,4047,0.222796,4.02837,False,0,False,True,5.59317e-05,7.35307e-05,7.35307e-05,7.35376e-05,7.35353e-05,0.101218,0.991042,1.0451,0.968262,54,0,453,7,7,0,0.718211,2.41666e+12,0,0.00722077,0.88353,0.883744,1.0282
short,2023-05-31,4069,0.222796,4.44834,False,0,False,True,4.66552e-05,6.13357e-05,6.13357e-05,6.13469e-05,6.13472e-05,0.101002,0.991719,1.04504,0.968623,54,0,454,6,6,0,0.754976,1.28347e+14,0,0.00744166,0.901615,0.901826,1.07735
short,2023-06-30,4090,0.222796,4.5935,False,0,False,True,3.92377e-05,5.15951e-05,5.15951e-05,5.14959e-05,5.14527e-05,0.101297,0.991711,1.04548,0.973174,54,0,456,6,6,0,0.709884,6.48783e+13,0,0.00822249,0.862198,0.862399,0.995217
short,2023-07-31,4110,0.222796,4.42896,False,0,False,True,3.3272e-05,4.37522e-05,4.37522e-05,4.37078e-05,4.36871e-05,0.101952,0.991747,1.04575,0.971698,54,0,456,6,6,0,0.754335,3.30345e+13,0,0.00704232,0.877522,0.877682,1.05088
short,2023-08-31,4133,0.222796,3.96945,False,0,False,True,2.7527e-05,3.61967e-05,3.61967e-05,3.61544e-05,3.61351e-05,0.102173,0.991104,1.04564,0.974006,54,0,455,6,6,0,0.772791,1.52091e+13,0,0.00540232,0.813565,0.813773,1.0051
short,2023-09-29,4153,0.222796,3.99689,False,0,False,True,2.33422e-05,3.06933e-05,3.06933e-05,3.06603e-05,3.06451e-05,0.102604,0.990869,1.04505,0.97585,54,0,454,5,5,0,0.769749,2.48772e+12,0,0.00737442,0.795817,0.796009,0.936211
short,2023-10-31,4175,0.222796,4.10124,False,0,False,True,1.94704e-05,2.56027e-05,2.56027e-05,2.55292e-05,2.54981e-05,0.102364,0.991128,1.04514,0.97286,54,0,454,5,5,0,0.730138,2.25836e+12,0,0.00417021,0.987161,0.987306,1.06653
short,2023-11-30,4196,0.222796,4.23149,False,0,False,True,1.63741e-05,2.15323e-05,2.15323e-05,2.14792e-05,2.14565e-05,0.102304,0.991041,1.04528,0.971942,54,0,454,5,5,0,0.763685,1.80354e+12,0,0.00477018,0.924807,0.924955,1.0571
short,2023-12-29,4216,0.222796,4.01568,False,0,False,True,1.38851e-05,1.8259e-05,1.8259e-05,1.8215e-05,1.81963e-05,0.102514,0.991092,1.04397,0.973434,54,0,456,5,5,0,0.689816,1.90178e+12,0,0.00580691,0.857185,0.857339,0.995312
short,2024-01-31,4237,0.222796,3.91459,False,0,False,True,1.1677e-05,1.5356e-05,1.5356e-05,1.53009e-05,1.52779e-05,0.103337,0.990718,1.04497,0.972906,54,0,456,5,5,0,0.742257,2.15495e+12,0,0.00576014,0.896035,0.896179,1.0297
short,2024-02-29,4257,0.222796,4.23725,False,0,False,True,9.9023e-06,1.30234e-05,1.30234e-05,1.29681e-05,1.29451e-05,0.103849,0.990755,1.04468,0.972516,54,0,457,5,6,0,0.76962,1.97033e+12,0,0.00834721,0.967127,0.967275,1.13603
short,2024-03-28,4277,0.222796,4.07187,False,0,False,True,8.39801e-06,1.10453e-05,1.10453e-05,1.09983e-05,1.09788e-05,0.104686,0.990469,1.04493,0.97394,54,0,458,5,6,0,0.768926,1.95844e+12,0,0.00840722,0.907709,0.907869,1.0876
short,2024-04-30,4299,0.222796,4.27153,False,0,False,True,7.00462e-06,9.21383e-06,9.21383e-06,9.16705e-06,9.14778e-06,0.104667,0.990223,1.04446,0.969943,54,0,457,5,5,0,0.781643,1.97757e+12,0,0.00845138,0.946094,0.946311,1.23094
short,2024-05-31,4321,0.222796,4.45374,False,0,False,True,5.84235e-06,7.68572e-06,7.68572e-06,7.6483e-06,7.63288e-06,0.104785,0.990781,1.04483,0.97241,54,0,458,5,5,0,0.812634,1.88126e+12,0,0.00703541,0.940902,0.941144,1.25162
short,2024-06-28,4340,0.222796,4.73577,False,0,False,True,4.9954e-06,6.57131e-06,6.57131e-06,6.53274e-06,6.51692e-06,0.105567,0.990033,1.04527,0.972173,54,0,458,5,7,0,0.82188,1.64179e+12,0,0.00243864,0.95428,0.954535,1.17976
short,2024-07-31,4362,0.222796,4.65685,False,0,False,True,4.16708e-06,5.4817e-06,5.4817e-06,5.45629e-06,5.44579e-06,0.104912,0.990191,1.04467,0.972998,54,0,458,5,5,0,0.815077,1.62035e+12,0,0.00917366,1.18917,1.18943,1.3282
short,2024-08-30,4384,0.222796,4.66791,False,0,False,True,3.47562e-06,4.57236e-06,4.57236e-06,4.5538e-06,4.54612e-06,0.104943,0.990414,1.04479,0.973215,54,0,458,5,5,0,0.82079,1.53405e+12,0,0.00618662,1.11094,1.11129,1.24148
short,2024-09-30,4404,0.222796,4.81159,False,0,False,True,2.94716e-06,3.87719e-06,3.87719e-06,3.8584e-06,3.85067e-06,0.105104,0.989377,1.04547,0.974654,54,0,455,5,5,0,0.816222,1.98952e+12,0,0.00456728,1.01802,1.01836,1.14559
short,2024-10-31,4427,0.222796,4.76146,False,0,False,True,2.43801e-06,3.20743e-06,3.20743e-06,3.19235e-06,3.18615e-06,0.10619,0.989935,1.0447,0.972176,54,0,454,5,5,0,0.820356,1.83116e+12,0,0.00752199,1.13989,1.14017,1.25232
short,2024-11-29,4447,0.222796,4.77142,False,0,False,False,2.06735e-06,2.71998e-06,2.71998e-06,2.70483e-06,2.69861e-06,0.105922,0.989549,1.04444,0.967726,54,0,455,5,6,0,0.825094,1.72498e+12,0,0.00235194,1.24365,1.24396,1.34521
long,2007-06-29,62,0.824573,3.54111,True,1,False,False,0.188038,-0.841404,-8.28901e-13,,,,,,,,,,,,,,,,,,,
long,2007-07-31,83,0.617124,3.32336,False,0,False,False,1.56542,0.301314,0.301314,-3.52923e-12,-9.83787e-12,2.77824,0.855647,10.1009,0.887216,51,0,305,8,8,0,0.796493,15.1009,0,0.0177189,,,
long,2007-08-31,106,0.484535,2.87431,False,0,False,False,3.13529,1.11393,1.11393,-7.25676e-12,-2.49443e-12,1.57149,0.893653,4.76525,0.90929,51,0,305,8,8,0,0.805105,5.33899,0,0.0156925,1.80186,1.61018,2.27834
long,2007-09-28,125,0.412011,2.82839,False,0,False,False,3.27475,1.24934,1.24934,-5.0592e-12,-4.37586e-12,1.24868,0.904581,3.9626,0.893816,51,0,306,8,8,0,0.811021,8.68318,0,0.01787,1.43444,1.3068,1.65916
long,2007-10-31,148,0.34934,2.94161,False,0,False,False,7.02018,3.28324,3.28324,-2.09452e-12,-1.02293e-11,0.913089,0.925797,2.48461,0.882804,51,0,308,8,9,0,0.822798,22.4494,0,0.0201933,1.42159,1.31908,1.63795
long,2007-11-30,169,0.30719,2.90574,False,0,False,False,19.6589,11.7889,11.7889,-6.1297e-13,-4.68781e-12,0.723926,0.9416,1.78765,0.910582,51,0,308,8,8,0,0.816141,20.6131,0,0.0105379,1.56612,1.47751,1.62327
long,2007-12-31,189,0.275891,3.01077,False,0,False,False,29.9226,20.0014,20.0014,-6.18357e-12,9.22439e-13,0.635129,0.941799,1.58446,0.914099,51,0,311,8,8,0,0.547838,19.1379,0,0.0200935,1.45941,1.38608,1.52376
long,2008-01-31,210,0.249572,3.19678,False,0,False,False,38.8758,27.2322,27.2322,-6.40039e-12,-2.94775e-12,0.561199,0.959069,1.50658,0.917104,51,0,311,8,8,0,0.809969,17.8162,0,0.013641,1.76339,1.69486,2.78645
