end,sample_equal_weight/none/patient,sample_equal_weight/gross_then_net/patient,sample_equal_weight/flat_spread/patient,sample_equal_weight/time_varying/patient,ewma/none/patient,ewma/gross_then_net/patient,ewma/flat_spread/patient,ewma/time_varying/patient,newey_west/none/patient,newey_west/gross_then_net/patient,newey_west/flat_spread/patient,newey_west/time_varying/patient,eigenfactor_a1.0/none/patient,eigenfactor_a1.0/gross_then_net/patient,eigenfactor_a1.0/flat_spread/patient,eigenfactor_a1.0/time_varying/patient,eigenfactor_a1.4/none/patient,eigenfactor_a1.4/gross_then_net/patient,eigenfactor_a1.4/flat_spread/patient,eigenfactor_a1.4/time_varying/patient,volatility_regime/none/patient,volatility_regime/gross_then_net/patient,volatility_regime/flat_spread/patient,volatility_regime/time_varying/patient,ledoit_wolf/none/patient,ledoit_wolf/gross_then_net/patient,ledoit_wolf/flat_spread/patient,ledoit_wolf/time_varying/patient
2009-06-30,-0.008698178099418419,-0.011477598361817387,-0.007833864863755036,-0.007545298704807801,-0.005665056392133994,-0.008835826938987434,-0.014735517324812042,-0.014342594820460297,-0.0064330505722158815,-0.00948114716203552,-0.014727764384518172,-0.014341569898277506,-0.006139321029426825,-0.00930301812128076,-0.014318208620521689,-0.013931780051385068,-0.006046605125382909,-0.009258479586796597,-0.014147832340664634,-0.0137621023197817,-0.006751569551878611,-0.010195507691256878,-0.009120220374932098,-0.008780687166049295,-0.008594567954610222,-0.011326367184043673,-0.0078292431884055,-0.007536498118810964
2009-07-31,0.013959033152986189,0.013103667942877095,0.012353065418080789,0.011304912939316347,0.019598428385935174,0.017255866894021255,0.015769169293263774,0.014370293240104415,0.020696186884644918,0.017976337952210653,0.0161282323479901,0.015355410640573997,0.021577486281951108,0.018773021821883118,0.016652329793571452,0.01572435388307114,0.021935881515291022,0.01909214910053958,0.016869048728207714,0.015880974272475923,0.019905605258401238,0.017503397030576462,0.014939469343477896,0.013937959069227679,0.013800521449176317,0.012952760918998774,0.012236663640791123,0.011199522414569563
2009-08-31,0.005580659536594146,0.0052382566557871435,0.0037287959299801,0.004643946780727548,0.007958808845084597,0.006472501850289136,0.001562114272662063,0.003377379125408142,0.009096464151661987,0.006608106975143357,0.0024899949162926482,0.00412605501201746,0.009149615194856686,0.006687127681523908,0.002418099042493793,0.004130246766087531,0.009171750013472701,0.0067217976560127735,0.0023885244255248406,0.004128042547432154,0.008178630444650503,0.006306411180175164,0.0023767286446993996,0.003991971982808984,0.005588602047719826,0.00523981216674807,0.0037414822457702,0.0046227632177107125
2009-09-30,0.02142386975315791,0.019802143148953455,0.01991594122811935,0.02056901436235914,0.031387229143747364,0.03001556432942687,0.038699536219021224,0.038311155155103416,0.032630483569555224,0.03079492587227395,0.03990242335762639,0.039214880375581185,0.032514221053483006,0.030696560915729476,0.04006293832249486,0.0393508735411654,0.03245687153036858,0.030648164505099107,0.04012748186391768,0.03940745410438917,0.03196214027872224,0.030277407805964662,0.038875233346221894,0.03809407024663791,0.021217823186502338,0.019644802844166476,0.019821509085330202,0.020518950868172903
2009-10-30,-0.002682151279012168,-0.002769178016689744,-0.0012555020922364601,-0.000919183870629392,-0.012646316505300903,-0.013164081113017922,-0.009602028442355803,-0.006920963579132744,-0.013418367359598227,-0.013717736191565577,-0.01055827433830625,-0.007870357503293901,-0.013367868161917928,-0.01369666396850755,-0.01045701425462553,-0.0077929887942905784,-0.013345368345409225,-0.013687053821297201,-0.010414860651670299,-0.00775664870526116,-0.013746676696365645,-0.014042577287457392,-0.010593303904688933,-0.009289298790928213,-0.0026777497497552094,-0.002776089305038809,-0.0013093969610014078,-0.0009755355477854
2009-11-30,0.02694616875639011,0.026310021528873406,0.02750227736294586,0.028439909498215288,0.04147495276916735,0.0408453967925535,0.027902784768705002,0.03337240699486599,0.04235073603341677,0.041136547718238825,0.02571675172949872,0.03315044161299929,0.042291659631541245,0.04111550171094591,0.025870314277172346,0.03312123775627174,0.04227065575215505,0.04110938935482156,0.02593510720297032,0.03312095051129593,0.04352487355925305,0.04199937420490274,0.0258239395644122,0.03104692627073158,0.0269801067282065,0.026409412870679327,0.027374335698834518,0.02830503832195741
2009-12-31,-0.015383214236532883,-0.015559683454641648,-0.016741119857822673,-0.016103191225766422,-0.012172415511647161,-0.012537925215742707,-0.015838295811828274,-0.013742748665662274,-0.01002005542854556,-0.010630852598933038,-0.015919660279741343,-0.013809395114345535,-0.009661291632441782,-0.010264940570417158,-0.015512273626831052,-0.01347220808177152,-0.009520062698996301,-0.010120606108124153,-0.015350545447858854,-0.013337006029017218,-0.008956897112593953,-0.009624102078827357,-0.015365500557268819,-0.012909606014531283,-0.015353263193378264,-0.0155126764155189,-0.016722152717053462,-0.016068444767086354
2010-01-29,0.0006447997495055979,0.00012782946276357343,0.000281323955699353,0.0007570904976190729,-0.0013879044931707218,-0.0023510555574971503,-0.0028862605478635617,-0.002436887261806686,-0.0014388706806272022,-0.0026458779980773617,-0.0034007164107906496,-0.002698428993733182,-0.0017087311470835864,-0.0028930394441841756,-0.003665348451307171,-0.0029447532384978548,-0.0018187584059070616,-0.0029938717759788736,-0.0037720471058070304,-0.0030451310473478266,-0.003552735032667065,-0.005087063151321347,-0.005723071494023069,-0.004718778499064213,0.0006515003622840077,0.00017288445768670613,0.00037095227758832117,0.000831490756094011
2010-02-26,0.015013504706172132,0.014819623960347306,0.014717603504120325,0.014501469955172874,0.02044606235626434,0.020388779789732414,0.01854387451823092,0.017678593990965386,0.02122354042316399,0.021181820984298216,0.01879956578680808,0.017685938351968078,0.021283464340235536,0.021243749488050634,0.018935353318026982,0.01784288259788469,0.02130746671750483,0.02126852051927286,0.01898951060652676,0.017905793012545024,0.023215124605928894,0.0231823927615471,0.02010574190882508,0.017976414629648385,0.014981637381216828,0.014791489951087922,0.014659788869862966,0.01443151001910814
2010-03-31,0.008457503911081021,0.008305213826390823,0.0076407097832991155,0.007583632994472067,0.013395175845604124,0.01336972105016554,0.011769454396870715,0.0119182183197577,0.014255732058628512,0.014218123855724851,0.01214581470314191,0.012247156618149235,0.014217210766271915,0.01418141021700392,0.012187853868629528,0.01228957986099899,0.014201803516348921,0.014166739947497176,0.012204239792021454,0.01230608110376652,0.015449842738924469,0.015365219143959052,0.013122791176660709,0.012960615301155887,0.008445563563681091,0.008293160001231259,0.007643215793064151,0.007594502625267285
