regime,aum,cost_drag_annual,spread_drag_annual,impact_drag_annual,turnover_annual,gross_annual,net_annual,adv_binding_share,relaxed,effective_assets_mean,largest_weight_median,inaccurate,resolve_max_l1
patient,13143904.44,0.002850129623,0.001439756519,0.001410373104,5.274504233,0.06350851052,0.0606583809,0.05347593583,0,2.755686035,0.4721144305,0,0
patient,14439119.79,0.002873469348,0.001434655491,0.001438813858,5.219942756,0.06364539716,0.06077192781,0.08021390374,0,2.765052305,0.4701955037,1,0.0003147626421
patient,15861967.14,0.002875434883,0.001423284118,0.001452150765,5.145369425,0.06384476065,0.06096932577,0.09625668449,0,2.770215357,0.4670012501,0,0
patient,17425023.5,0.002871937688,0.001408398073,0.001463539615,5.070188209,0.06421905808,0.0613471204,0.09090909091,0,2.771944877,0.472360961,0,0
patient,19142105.21,0.002867816465,0.001391106356,0.001476710109,4.995817249,0.06476426267,0.06189644621,0.1176470588,0,2.773751661,0.4763422758,0,0
patient,21028390.12,0.002863852076,0.001374458134,0.001489393942,4.917965343,0.06509121428,0.06222736221,0.1122994652,0,2.77795345,0.4775063602,0,0
patient,23100551.7,0.002857493959,0.001356359096,0.001501134864,4.830514396,0.06548331619,0.06262582223,0.1550802139,0,2.78356364,0.4751224866,0,0
patient,25376906.44,0.002837368934,0.001337850222,0.001499518711,4.731393282,0.06614400352,0.06330663459,0.1604278075,0,2.801698207,0.4738676199,0,0
patient,27877575.79,0.002838569765,0.001326120611,0.001512449154,4.662967781,0.06649235032,0.06365378055,0.192513369,0,2.819935907,0.4776512993,3,0.001099669219
patient,30624663.94,0.002780131352,0.001249983407,0.001530147945,4.609951076,0.06645546196,0.0636753306,0.1935483871,1,2.892722179,0.4569917425,1,0
patient,33642453.3,0.002795853975,0.001236819782,0.001559034193,4.552449886,0.06553053536,0.06273468139,0.2594594595,2,2.901714055,0.453412428,1,0.0008908846377
patient,36957619.06,0.002782268173,0.00121401427,0.001568253903,4.471134586,0.06562457573,0.06284230756,0.2864864865,2,2.92483426,0.4533349473,3,0.01146254213
patient,40599465.05,0.002775166667,0.001195097858,0.001580068809,4.391031659,0.06562581382,0.06285064715,0.2756756757,2,2.951602539,0.4484779619,2,0.001964182289
urgent,405994.6505,0.002462558751,0.001605266642,0.0008572921097,6.057172953,0.06327336595,0.0608108072,0,0,2.663840655,0.4801168621,0,0
urgent,446001.827,0.002490416784,0.001600624005,0.0008897927794,6.029928789,0.06323131295,0.06074089616,0,0,2.665146384,0.4795291663,0,0
urgent,489951.3564,0.002519824879,0.001596024254,0.0009238006247,6.002137701,0.06317339493,0.06065357005,0,0,2.666477259,0.4788928779,0,0
urgent,538231.7226,0.002550039231,0.001591383554,0.0009586556774,5.972582246,0.06310769883,0.0605576596,0,0,2.668072466,0.4782043029,0,0
urgent,591269.6912,0.002581566692,0.001586888443,0.0009946782487,5.942488559,0.06304491782,0.06046335113,0,0,2.669897662,0.4774569065,0,0
urgent,649534.0817,0.002614549305,0.001582844226,0.001031705079,5.911974037,0.06297733325,0.06036278394,0,0,2.67208683,0.4774552438,0,0
urgent,713539.9119,0.002648199645,0.001578690665,0.00106950898,5.880681566,0.06289831575,0.0602501161,0,0,2.674489107,0.4785667201,0,0
urgent,783852.9497,0.002683116961,0.001574381595,0.001108735366,5.848320052,0.0628264125,0.06014329554,0,0,2.677153672,0.4797246175,0,0
urgent,861094.7145,0.002715984624,0.001567963611,0.001148021013,5.811718652,0.06282512257,0.06010913794,0,0,2.680361238,0.4800024354,0,0
