# {
#   "_what": "SPEC.md 5.4 bias series B_t^F for the HYBRID factor set (SPEC.md 4.3) -- six named macro factors plus 1 or 2 unnamed residual PCs. One column per component count x horizon x eigenfactor a, built by `python -m mafrm.factors.hybrid_report --rebuild --all`. sigma_kt is the forecast made at t-1 from the full pre-VRA pipeline.",
#   "columns": [
#     "bias_pc1_short_a1.0",
#     "bias_pc1_short_a1.4",
#     "bias_pc1_long_a1.0",
#     "bias_pc1_long_a1.4",
#     "bias_pc2_short_a1.0",
#     "bias_pc2_short_a1.4",
#     "bias_pc2_long_a1.0",
#     "bias_pc2_long_a1.4"
#   ],
#   "generated_utc": "2026-09-02T17:23:11+00:00",
#   "git_commit": "d09e49e65a593c19e660523ad77facb84e950d46",
#   "holdout_start": "2025-01-01",
#   "panel_digest": {
#     "1": "05d0d3240bbced94010fdb337a52863760916039588b4ebac1ee883fd214c0f3",
#     "2": "fd261a6c01aa369985bbc487e00e90f3da99938d10a2020b476d44c559c3bbcd"
#   },
#   "risk_config_digest": "3701b5bf664e023a23f6ca793b83386f14c5517e8bb4c6d75ab58c9ebda09744",
#   "rows": 3630
# }
date,k_over_realised_t_eff_pc1_short,k_over_realised_t_eff_pc1_long,k_over_realised_t_eff_pc2_short,k_over_realised_t_eff_pc2_long,bias_pc1_short_a1.0,bias_pc1_short_a1.4,bias_pc1_long_a1.0,bias_pc1_long_a1.4,bias_pc2_short_a1.0,bias_pc2_short_a1.4,bias_pc2_long_a1.0,bias_pc2_long_a1.4
2010-05-07,0.875312770085,0.875034754686,,,0.000144305274398,0.000103078899053,0.000144320304966,0.000103089607692,,,,
2010-05-10,0.778130809512,0.777817006968,0.889292353728,0.88893372225,0.000520606382017,0.000371892311829,0.00052691911649,0.000376402029784,0.000193372389384,0.000138125300579,0.000187922186064,0.000134232157297
2010-05-11,0.700393180617,0.700043691406,0.800449349277,0.800049933036,0.000350870468568,0.000250667327265,0.000354143511102,0.000253005902653,0.000696313872875,0.000497263866894,0.000705999654878,0.000504180195858
2010-05-12,0.63679688292,0.636411781037,0.727767866194,0.727327749756,0.00146599216315,0.00104737653506,0.00147676006892,0.00105507058726,0.00187241991619,0.00133724544207,0.00188536127668,0.00134648712022
2010-05-13,0.583806582673,0.583385924549,0.667207523055,0.666726770913,0.00128396541591,0.000917372159199,0.00129270765934,0.000923619363856,0.000998216750558,0.000713171908287,0.00100520011283,0.000718161654109
2010-05-14,0.538974741049,0.538518571037,0.615971132627,0.61544979547,1.53569753227,1.4970584875,1.53435836965,1.49578519278,1.49636071136,1.44891201682,1.49721742851,1.44993424835
2010-05-17,0.500553115949,0.500061469849,0.572060703942,0.571498822685,1.1907921045,1.17694585745,1.19223781561,1.1783951351,1.2194496186,1.19683538004,1.22130169512,1.19869687107
2010-05-18,0.467259663096,0.46673257051,0.534011043538,0.533408652012,0.908578326539,0.897709170806,0.906317049345,0.895520578987,1.01818401856,1.00399414233,1.0163281217,1.00221787764
2010-05-19,0.438132849215,0.437570335161,0.500723256246,0.500080383041,1.09777069537,1.09000382238,1.09582215979,1.08809006805,1.86663095232,1.86440489912,1.86360079839,1.86139042576
2010-05-20,0.412437384092,0.411839470144,0.471357010391,0.470673680164,2.27843481367,2.27980322906,2.27255702518,2.27390378895,2.12421631972,2.09571193484,2.12071062456,2.09230952247
